Process;ID test;Module;Rôle;Point à vérifier;Étapes;Résultat attendu;Statut;Criticité;Commentaires;Test Unitaire;Test Fonctionnel;Procédure de réalisation
Exécution;EXEC-10;État projet;Chef de projet;Champ statut Vert / Orange / Rouge;1. Ouvrir la phase Exécution;Champ statut visible;Non testé;Majeure;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Exécution;EXEC-11;Risques;Chef de projet;Mise à jour du registre des risques;1. Modifier un risque existant;Mise à jour enregistrée;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Exécution;EXEC-12;Go / No-Go;Chef de projet;Champ Prêt pour UAT / Recette;1. Ouvrir la phase Exécution;Champ Oui / Non visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Exécution;EXEC-13;Go / No-Go;Chef de projet;Validation Prêt pour UAT;1. Cocher Oui;Valeur enregistrée;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
Exécution;EXEC-14;Transition;Système;Passage automatique vers UAT;1. Valider la transition;Projet passe en phase UAT;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
UAT;UAT-01;Documents UAT;Chef de projet / Testeurs;Zone upload Cahier de tests;1. Ouvrir la phase UAT;Zone d'upload visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-02;Documents UAT;Chef de projet / Testeurs;Zone upload Feuille d'anomalies;1. Ouvrir la phase UAT;Zone visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-03;Documents UAT;Chef de projet;Zone upload PV de recette;1. Ouvrir la phase UAT;Zone visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-04;Mise en production;Chef de projet / Infra;Zone upload Dossier MEP;1. Ouvrir la phase UAT;Zone visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-05;Mise en production;Chef de projet / Infra;Zone upload PV de MEP;1. Ouvrir la phase UAT;Zone visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-06;Hypercare;Chef de projet;Zone upload Rapport hypercare;1. Ouvrir la phase UAT;Zone visible;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-07;Statut recette;Chef de projet;Champ Recette validée ?;1. Ouvrir la phase;Champ Oui / Non visible;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
UAT;UAT-08;Statut MEP;Chef de projet;Champ MEP effectuée ?;1. Ouvrir la phase;Champ Oui / Non visible;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
UAT;UAT-09;Documents;Chef de projet;Upload Cahier de tests;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-10;Documents;Chef de projet;Upload Feuille d'anomalies;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-11;Documents;Chef de projet;Upload PV recette;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-12;Documents;Chef de projet;Upload Dossier MEP;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-13;Documents;Chef de projet;Upload PV MEP;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-14;Documents;Chef de projet;Upload Rapport hypercare;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
UAT;UAT-15;Validation recette;Chef de projet;Recette validée = Oui;1. Cocher Oui;Valeur enregistrée;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
UAT;UAT-16;Validation MEP;Chef de projet;MEP effectuée = Oui;1. Cocher Oui;Valeur enregistrée;Non testé;Bloquante;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
UAT;UAT-17;Contrôle cohérence;Système;MEP sans PV de MEP;1. Simuler cas négatif;Blocage ou message d'alerte;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
UAT;UAT-18;Contrôle cohérence;Système;Recette validée sans PV recette;1. Simuler cas négatif;Blocage ou message cohérent;Non testé;Majeure;Test unitaire de logique métier;Oui;Non;"1. Exécuter le test unitaire correspondant
2. Vérifier les assertions
3. Valider la couverture de code
4. Tester les cas d'erreur"
UAT;UAT-19;Transition;Système;Fin hypercare;1. Finaliser la phase;Statut = Prêt pour clôture;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-01;Bilan projet;Chef de projet;Champ Périmètre réalisé;1. Ouvrir la phase Clôture;Champ visible et modifiable;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-02;Bilan projet;Chef de projet;Champ Planning réalisé;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-03;Bilan projet;Chef de projet;Champ Budget réalisé;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-04;Bilan projet;Chef de projet;Champ Difficultés rencontrées;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-05;Bilan projet;Chef de projet;Champ Réussites du projet;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-06;Leçons apprises;Chef de projet;Champ Ce qui a bien marché;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-07;Leçons apprises;Chef de projet;Champ Ce qui n'a pas marché;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-08;Leçons apprises;Chef de projet;Champ Recommandations;1. Ouvrir la phase Clôture;Champ visible;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-09;Documents;Chef de projet;Upload rapport de clôture;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-10;Documents;Chef de projet;Upload PV de clôture;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-11;Documents;Chef de projet / RUN;Upload dossier d'exploitation / RUN;1. Joindre fichier;Upload réussi;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-12;Workflow;Chef de projet;Initier demande de clôture;1. Cliquer Initier clôture;Statut = Clôture en validation;Non testé;Bloquante;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
Clôture;CLOT-13;Workflow;Demandeur / Chef de projet;Validation demandeur;1. Valider côté demandeur;Étape validée;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Clôture;CLOT-14;Workflow;Directeur métier;Validation métier;1. Valider côté Directeur métier;Étape validée;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Clôture;CLOT-15;Workflow;DSI;Validation finale DSI;1. Valider côté DSI;Statut projet = Clôturé;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Clôture;CLOT-16;Contrôle workflow;Système;Chaîne de validation incomplète;1. Omettre une validation;Projet non clôturé;Non testé;Bloquante;Test mixte - logique métier et interface utilisateur;Oui;Oui;"1. Exécuter les tests unitaires pour valider la logique métier
2. Exécuter les tests fonctionnels UI
3. Vérifier le résultat attendu
4. Valider les cas limites"
Clôture;CLOT-17;Portefeuille projets;PMO / DSI;Projet clôturé visible dans portefeuille;1. Consulter le portefeuille projets;Projet visible avec statut Clôturé;Non testé;Majeure;Test fonctionnel UI uniquement;Non;Oui;"1. Lancer l'application
2. Exécuter le scénario de test fonctionnel
3. Vérifier le résultat attendu dans l'interface
4. Documenter les observations"
